Bergisch Gladbach	23286	32681	41409	50228	101472	104037	105693	105723	111366	"83,09"	134	"1,52"	1977	Nordrhein-Westfalen Nordrhein-Westfalen
Jena	68377	80309	8119	8813	103718	102518	99893	105129	109527	"114,76"	954	"1,22"	1975	Thüringen Thüringen
Dortmund	537865	507349	640802	640642	608297	599055	588994	580444	586181	"280,71"	2088	"0,98"	1894	Nordrhein-Westfalen Nordrhein-Westfalen
Recklinghausen	86302	104791	130405	125369	119418	12506	124785	118365	11433	"66,43"	1721	"0,16"	1949	Nordrhein-Westfalen Nordrhein-Westfalen
Siegen	37622	38787	4821	57563	11232	109174	108476	103424	102355	"114,69"	892	"2,02"	1975	Nordrhein-Westfalen Nordrhein-Westfalen
Hildesheim	68679	72292	94352	93373	102619	105291	103909	102794	101667	"92,18"	1103	"1,69"	1974	Niedersachsen Niedersachsen
Salzgitter	45598	100667	108872	119031	1136	114355	112302	102394	101079	"223,92"	451	"2,14"	1942	Niedersachsen Niedersachsen
München	815212	831937	1101384	1311978	1298941	1229026	1210223	1353186	1450381	"310,70"	4668	"1,45"	1852	Bayern Bayern
Köln	768352	594941	801142	849451	976694	953551	962884	1007119	1060582	"405,02"	2619	"1,33"	1852	Nordrhein-Westfalen Nordrhein-Westfalen
Hamburg	1698388	1605606	1836958	1793640	1645095	1652363	1715392	1786448	1787408	"755,30"	2366	"1,40"	1787	Hamburg Hamburg
Frankfurt am Main	54822	532037	675009	666179	629375	644865	64855	679664	732688	"248,31"	2951	"2,10"	1875	Hessen Hessen
Erlangen	33471	50011	68569	85061	101845	10244	100778	105629	108336	"76,95"	1408	"1,80"	1974	Bayern Bayern
Düsseldorf	535753	500516	697891	660963	590479	575794	569364	588735	612178	"217,41"	2816	"1,27"	1882	Nordrhein-Westfalen Nordrhein-Westfalen
Remscheid	103912	103276	125912	136822	129082	123155	119287	110563	109499	"74,52"	1469	"0,45"	1929	Nordrhein-Westfalen Nordrhein-Westfalen
Leipzig	702155	617574	589632	583885	56248	511079	493208	522883	560472	"297,39"	1885	"2,94"	1871	Sachsen Sachsen
Bremen	354109	444549	56327	592533	555118	551219	539403	54734	557464	"325,56"	1712	"1,03"	1875	Bremen Bremen
Moers	29646	34832	45908	5341	99923	104595	107062	105506	104529	"67,68"	1544	"1,56"	1975	Nordrhein-Westfalen Nordrhein-Westfalen
Stuttgart	454346	497677	637366	634202	580648	579988	583874	606588	623738	"207,35"	3008	"1,84"	1874	Baden-Württemberg Baden-Württemberg
Berlin	4321521	3336026	3274016	3208719	3048759	3433695	3382169	3460725	3520031	"891,69"	3948	"1,45"	1747	Berlin Berlin
